Specific frame,Nils annotation,Thijs annotation,IS EQUAL
prolonged isolation,,,TRUE
energy crunch,,,TRUE
deficit,,,TRUE
capital flight,,,TRUE
weak states,,,TRUE
notice,,,TRUE
unilateralism,,,TRUE
until marriage,,,TRUE
sun,,,TRUE
parenting,,,TRUE
thought,,,TRUE
self-improvement,,,TRUE
families,,,TRUE
hutches,,,TRUE
other solutions,,,TRUE
poland,,,TRUE
special interests,,,TRUE
proliferation,,,TRUE
others,,,TRUE
israeli society,,,TRUE
vs imf,,,TRUE
global integration,,,TRUE
value,,,TRUE
animal benefits,,,TRUE
argentinian independence,,,TRUE
assoc,,,TRUE
natural disasters,,,TRUE
vital interests,,,TRUE
reproduction,,,TRUE
agreement,,,TRUE
containing growth,,,TRUE
life lessons,,,TRUE
as fuel,,,TRUE
s. ossetia independence,,,TRUE
vows,,,TRUE
value of education,,,TRUE
effectiveness of ban,,,TRUE
colleges/applicants,,,TRUE
stereotypes vs. reality,,,TRUE
reputation,,,TRUE
database,,,TRUE
time,,,TRUE
"defining ""denial""",,,TRUE
popular demands,,,TRUE
citizen decisions,,,TRUE
feasibility of change,,,TRUE
weighty statements,,,TRUE
concentration,,,TRUE
mail-in re-vote,,,TRUE
barages,,,TRUE
teachers,,,TRUE
motivations,,,TRUE
sulfur dioxide,,,TRUE
intelligence sources,,,TRUE
hypocrisy,,,TRUE
youth participation,,,TRUE
habitat,,,TRUE
non-corn ethanol,,,TRUE
palestinians,,,TRUE
instant-replay ump,,,TRUE
companies,,,TRUE
exposure,,,TRUE
vs. scripted shows,,,TRUE
standards,,,TRUE
disadvantaged,,,TRUE
activist organizations,,,TRUE
eugenics,,,TRUE
chinese governance,,,TRUE
performance,,,TRUE
tibet,,,TRUE
empowering women,,,TRUE
growing government,,,TRUE
pakistan,,,TRUE
us commitment,,,TRUE
double standard,,,TRUE
ambiguity,,,TRUE
pregnancy,,,TRUE
sex education issues,,,TRUE
vs. public insurance,,,TRUE
intelligence,,,TRUE
vs capitalism (see also debate,,,TRUE
efficiency,,,TRUE
interests of living victims,,,TRUE
kosovo,,,TRUE
merit,,,TRUE
socializing,,,TRUE
infrastructure,,,TRUE
carrying papers,,,TRUE
children,,,TRUE
interference,,,TRUE
emissions,,,TRUE
incumbency,,,TRUE
corporations,,,TRUE
public service,,,TRUE
iran,,,TRUE
assisting quiting,,,TRUE
arbitration,,,TRUE
aumf?,,,TRUE
tang dynasty (618-907),,,TRUE
size,,,TRUE
georgia,,,TRUE
obligatory,,,TRUE
state interests,,,TRUE
small states,,,TRUE
geography,,,TRUE
commitment,,,TRUE
innovation,,,TRUE
consumption/taste,,,TRUE
incumbent,,,TRUE
maintenance,,,TRUE
individual effects,,,TRUE
in us history,,,TRUE
air-quality,,,TRUE
family size,,,TRUE
pragmatism,,,TRUE
chinese response,,,TRUE
footprint,,,TRUE
citizenship,,,TRUE
independence vs. union,,,TRUE
space exploration,,,TRUE
activism,,,TRUE
expanded membership,,,TRUE
interest groups,,,TRUE
eu opinion,,,TRUE
cosmetics,,,TRUE
university administrators,,,TRUE
affecting protection choices,,,TRUE
silent mode,,,TRUE
powers,,,TRUE
products,,,TRUE
starting point,,,TRUE
last resort,,,TRUE
claims,,,TRUE
information,,,TRUE
strategic value,,,TRUE
advertisements,,,TRUE
poor system,,,TRUE
original vote,,,TRUE
mars,,,TRUE
viewer esteem,,,TRUE
images in islam,,,TRUE
bad apples,,,TRUE
discipline,,,TRUE
creationism as science,,,TRUE
exceptionality,,,TRUE
future efforts,,,TRUE
implementation,,,TRUE
needy,,,TRUE
importance,,,TRUE
traffic,,,TRUE
urgency,,,TRUE
gay influence,,,TRUE
israel,,,TRUE
home-heating,,,TRUE
affirmative action,,,TRUE
state consistency,,,TRUE
croatia,,,TRUE
engine compatibility,,,TRUE
entertainment,,,TRUE
child development,,,TRUE
private investments,,,TRUE
graduated response,,,TRUE
sunnis,,,TRUE
postal rates,,,TRUE
the consumer,,,TRUE
china/india,,,TRUE
consumption,,,TRUE
russia,,,TRUE
dependency,,,TRUE
libel/misinformation,,,TRUE
hitler,,,TRUE
aig recovery,,,TRUE
serious problem,,,TRUE
aggression,,,TRUE
vietnam comparison,,,TRUE
future impact,,,TRUE
popular support,,,TRUE
temporary,,,TRUE
parental authority,,,TRUE
compromise,,,TRUE
science,,,TRUE
demonstration,,,TRUE
risks,,,TRUE
historic opinion,,,TRUE
voluntary action,,,TRUE
environment/batteries,,,TRUE
relevant symbol,,,TRUE
processes,,,TRUE
present,,,TRUE
stabilizer?,,,TRUE
humanity,,,TRUE
problem,,,TRUE
vs rep government,,,TRUE
state sovereignty,,,TRUE
male interests,,,TRUE
fresh faces vs. amateurs,,,TRUE
the children,,,TRUE
turnaround,,,TRUE
administrative costs,,,TRUE
killing calves,,,TRUE
changing menus,,,TRUE
self-regulations,,,TRUE
tobacco ads,,,TRUE
post-cold war,,,TRUE
quality,,,TRUE
during recession,,,TRUE
image/relations,,,TRUE
special case,,,TRUE
vs. alcohol etc,,,TRUE
consequences,,,TRUE
aid agencies,,,TRUE
practicality,,,TRUE
message,,,TRUE
water supply,,,TRUE
administration,,,TRUE
spirit,,,TRUE
usage,,,TRUE
democratic process,,,TRUE
captivity,,,TRUE
us contributions,,,TRUE
cellulosic,,,TRUE
differentiated responsibilities,,,TRUE
young women,,,TRUE
opinion,,,TRUE
viability,,,TRUE
vs. britannica,,,TRUE
ming dynasty (1368-1644),,,TRUE
energy independence,,,TRUE
sex,,,TRUE
industry,,,TRUE
vs treatment,,,TRUE
fisheries,,,TRUE
significance,,,TRUE
party system,,,TRUE
protecting players,,,TRUE
muslim relations,,,TRUE
in world,,,TRUE
hunting,,,TRUE
professional networking,,,TRUE
general history,,,TRUE
vetting climate solutions,,,TRUE
past aid,,,TRUE
agriculture,,,TRUE
retention,,,TRUE
training,,,TRUE
the flag was waving and rippling,,,TRUE
support,,,TRUE
independence vs. autonomy,,,TRUE
ukraine,,,TRUE
rarity,,,TRUE
general access,,,TRUE
broad strategy,,,TRUE
intervention,,,TRUE
non-participation,,,TRUE
reasonable suspicion,,,TRUE
to preserve or save artifacts,,,TRUE
partying,,,TRUE
general,,,TRUE
patriotism,,,TRUE
quality and value,,,TRUE
new orleans,,,TRUE
contract,,,TRUE
way #1: value way,,,TRUE
individual responsibility,,,TRUE
crop-eradication,,,TRUE
decency,,,TRUE
romany schools,,,TRUE
red tides,,,TRUE
position,,,TRUE
donor countries,,,TRUE
history,,,TRUE
by-catch,,,TRUE
vs. solar,,,TRUE
iraqi constitution,,,TRUE
blockade,,,TRUE
democratic agenda,,,TRUE
producer states,,,TRUE
immediacy,,,TRUE
sex tourism,,,TRUE
vs. mandates,,,TRUE
juvenile jurisdiction,,,TRUE
pre-existing conditions,,,TRUE
disarmament,,,TRUE
public,,,TRUE
mixed approach,,,TRUE
other evidence,,,TRUE
discovery,,,TRUE
secret prisons,,,TRUE
islamic faith,,,TRUE
students,,,TRUE
natural,,,TRUE
consensus,,,TRUE
marriage institution,,,TRUE
natural expansion,,,TRUE
female interests,,,TRUE
urban development,,,TRUE
sovereignty,,,TRUE
intimidation,,,TRUE
effect on wild fish,,,TRUE
recreation,,,TRUE
relations,,,TRUE
sexualization,,,TRUE
turbines,,,TRUE
general election,,,TRUE
czech republic,,,TRUE
peer review,,,TRUE
pesticides,,,TRUE
case studies,,,TRUE
oil replacement,,,TRUE
status,,,TRUE
mineral exploitation,,,TRUE
surveillance,,,TRUE
way #2,,,TRUE
dc non-state,,,TRUE
parental exploitation,,,TRUE
pro/con industries,,,TRUE
legal acadamia,,,TRUE
statehood,,,TRUE
hands-free phones,,,TRUE
smaller states,,,TRUE
symbol,,,TRUE
iceland,,,TRUE
general humaneness,,,TRUE
abuse,,,TRUE
ecosystems,,,TRUE
influence,,,TRUE
co-opting bowls,,,TRUE
the pro and con arguments,,,TRUE
individuals,,,TRUE
emperor,,,TRUE
anti-dumping measures,,,TRUE
environment/general,,,TRUE
in cities,,,TRUE
other,,,TRUE
vs private sector,,,TRUE
united kingdom,,,TRUE
scientific community,,,TRUE
animals as commodities,,,TRUE
kurds,,,TRUE
proliferation/npt,,,TRUE
problem-solving,,,TRUE
momentum,,,TRUE
popularity,,,TRUE
love,,,TRUE
historically,,,TRUE
value of debate,,,TRUE
sustainability,,,TRUE
ocean ecosystems,,,TRUE
islamic democracy,,,TRUE
chechen sovereignty,,,TRUE
victims,,,TRUE
international cooperation vs interdependence,,,TRUE
irrational actor,,,TRUE
colonial legacy,,,TRUE
kosovo precedent,,,TRUE
strategy,,,TRUE
marriage stability,,,TRUE
scalability,,,TRUE
vs. air travel,,,TRUE
regional stability,,,TRUE
middle east,,,TRUE
pristine environment?,,,TRUE
precautionary principle,,,TRUE
japan's case,,,TRUE
war on christmas,,,TRUE
oil,,,TRUE
office effectiveness,,,TRUE
clean coal,,,TRUE
sweden,,,TRUE
decision-making,,,TRUE
pro/con organizations,,,TRUE
consultation,,,TRUE
npr/pbs,,,TRUE
consensus model,,,TRUE
responsibility,,,TRUE
atmospheric c02,,,TRUE
charging,,,TRUE
learning english,,,TRUE
massachussetts,,,TRUE
employers,,,TRUE
permanent president of the european council,,,TRUE
false choice,,,TRUE
vs. rockets,,,TRUE
academics,,,TRUE
lying,,,TRUE
confidence,,,TRUE
guest workers,,,TRUE
socially,,,TRUE
marine ecosystems,,,TRUE
change,,,TRUE
priorities,,,TRUE
voluntary,,,TRUE
work environment,,,TRUE
smegma,,,TRUE
"armenian ""genocide""",,,TRUE
mccain's age,,,TRUE
parental responsibility,,,TRUE
screening,,,TRUE
consumer pressure,,,TRUE
collateral damage,,,TRUE
immediate stimulus,,,TRUE
power,,,TRUE
immigration,,,TRUE
inclusiveness,,,TRUE
teacher rights,,,TRUE
teacher authority,,,TRUE
free-riders,,,TRUE
business,,,TRUE
electric grid,,,TRUE
impact on violence,,,TRUE
unions,,,TRUE
defining negativity,,,TRUE
verification,,,TRUE
winning,,,TRUE
vs. electric vehicles,,,TRUE
mandates,,,TRUE
israeli security,,,TRUE
blissful ignorance,,,TRUE
auto comparison,,,TRUE
climate change,,,TRUE
palestinian life,,,TRUE
responsible marketplace,,,TRUE
state authority,,,TRUE
researching it,,,TRUE
environment,,,TRUE
side-effects,,,TRUE
vs. electric,,,TRUE
completeness,,,TRUE
free association,,,TRUE
clone,,,TRUE
euro,,,TRUE
vs. hydrogen cars,,,TRUE
moderation,,,TRUE
music as art,,,TRUE
broken cameras,,,TRUE
associations,,,TRUE
historical figures,,,TRUE
power abuse,,,TRUE
two-party moderation,,,TRUE
vs. automatic enrollment,,,TRUE
for baseball,,,TRUE
surfers,,,TRUE
reality,,,TRUE
parents,,,TRUE
social gain,,,TRUE
direct democracy,,,TRUE
crowding,,,TRUE
averting crises,,,TRUE
experience,,,TRUE
effectiveness,,,TRUE
teen pregnancy,,,TRUE
debaters' attitude towards life,,,TRUE
brazil,,,TRUE
in korea,,,TRUE
symbolism,,,TRUE
party power,,,TRUE
playing god/nature,,,TRUE
other options,,,TRUE
consumers,,,TRUE
leadership,,,TRUE
practice,,,TRUE
institution of marriage,,,TRUE
join operations,,,TRUE
doctor/parent role,,,TRUE
vs. restriction,,,TRUE
party interest,,,TRUE
sectoral standards,,,TRUE
without saddam,,,TRUE
demographic shifts,,,TRUE
the individual,,,TRUE
research,,,TRUE
property,,,TRUE
need,,,TRUE
speeding cameras,,,TRUE
child abuse,,,TRUE
athletes,,,TRUE
innocents,,,TRUE
needing the money,,,TRUE
algae biofuels,,,TRUE
surrender,,,TRUE
manipulation,,,TRUE
good/bad stimulus,,,TRUE
donor impact,,,TRUE
lftr reactors,,,TRUE
settlements,,,TRUE
pretext for war,,,TRUE
image,,,TRUE
irony,,,TRUE
state powers,,,TRUE
family integrity,,,TRUE
human factor,,,TRUE
diplomatic feel,,,TRUE
luck,,,TRUE
flexibility,,,TRUE
from developed nations,,,TRUE
access,,,TRUE
meritocracy,,,TRUE
bad zookeepers,,,TRUE
developing countries,,,TRUE
modern media,,,TRUE
backlash,,,TRUE
cooperatives,,,TRUE
compassion,,,TRUE
ceo pay,,,TRUE
lng,,,TRUE
principles,,,TRUE
social effects,,,TRUE
level playing field,,,TRUE
media,,,TRUE
student measurement,,,TRUE
fans,,,TRUE
unions/advocacy,,,TRUE
scholars,,,TRUE
grain diets,,,TRUE
authority,,,TRUE
global warming crisis,,,TRUE
environmental justice,,,TRUE
car insurance analogy,,,TRUE
individual representation,,,TRUE
coordination,,,TRUE
accountability,,,TRUE
states,,,TRUE
weather resistance,,,TRUE
coca products,,,TRUE
justification,,,TRUE
dynasty,,,TRUE
corporate responsibility,,,TRUE
theory,,,TRUE
respecting victims,,,TRUE
beauty,,,TRUE
social aspects,,,TRUE
birth control,,,TRUE
local use,,,TRUE
oil exploration,,,TRUE
marine wildlife,,,TRUE
influence of ads,,,TRUE
wind energy,,,TRUE
default,,,TRUE
state budgets,,,TRUE
tie-breaking,,,TRUE
safeguards,,,TRUE
sources,,,TRUE
reliability,,,TRUE
recount concerns,,,TRUE
consistency,,,TRUE
balloon effect,,,TRUE
establishment clause,,,TRUE
installation,,,TRUE
teaching the controversy,,,TRUE
efficiency and productivity,,,TRUE
chinese users,,,TRUE
animal rights,,,TRUE
framers,,,TRUE
vs upgrading,,,TRUE
blame for conflict,,,TRUE
evolution,,,TRUE
bi-partisanship,,,TRUE
the route,,,TRUE
developing growth,,,TRUE
abortions and abandonment,,,TRUE
exemptions,,,TRUE
secret deal,,,TRUE
"vs. ""clean coal""",,,TRUE
civil unions,,,TRUE
historical roots,,,TRUE
future prospects,,,TRUE
humaneness,,,TRUE
palestinian territory,,,TRUE
employer mandate,,,TRUE
translocation,,,TRUE
examples,,,TRUE
at risk,,,TRUE
school,,,TRUE
splitting delegates,,,TRUE
consumption levels,,,TRUE
checks,,,TRUE
unique harms,,,TRUE
appearances,,,TRUE
worker's rights,,,TRUE
wwii dues paid?,,,TRUE
blame,,,TRUE
in schools,,,TRUE
iraqi will,,,TRUE
social/democratic,,,TRUE
activists' intentions,,,TRUE
charity,,,TRUE
coalition will,,,TRUE
future,,,TRUE
choice,,,TRUE
bih democracy,,,TRUE
editor-experience,,,TRUE
net energy,,,TRUE
sexual role,,,TRUE
lives,,,TRUE
reanalyzing evidence,,,TRUE
covenant vs no-fault,,,TRUE
shiites,,,TRUE
npov,,,TRUE
right of return,,,TRUE
ideological distinctions,,,TRUE
abroad,,,TRUE
utility,,,TRUE
deterrence,,,TRUE
exploration,,,TRUE
storage,,,TRUE
deep water oxygen depletion,,,TRUE
replacements,,,TRUE
acting on speech,,,TRUE
bison migrations,,,TRUE
youtube videos pro and con,,,TRUE
demolishing dams,,,TRUE
vs other sports,,,TRUE
noise,,,TRUE
frame,,,TRUE
iran problem,,,TRUE
eezs,,,TRUE
passion,,,TRUE
differences,,,TRUE
character,,,TRUE
global warming,,,TRUE
vs. other biofuels,,,TRUE
characteristics,,,TRUE
effects,,,TRUE
renewable,,,TRUE
scholars and journalist stances,,,TRUE
cheating,,,TRUE
civilians,,,TRUE
restriction,,,TRUE
privileged partnership,,,TRUE
promises,,,TRUE
vs. surgical castration,,,TRUE
other symbols,,,TRUE
dmv employees,,,TRUE
internationally,,,TRUE
third parties,,,TRUE
bad assets,,,TRUE
suspense,,,TRUE
national symbol,,,TRUE
radiation,,,TRUE
argument 1,,,TRUE
natural gas vehicles,,,TRUE
past deportations,,,TRUE
jewish state,,,TRUE
israel's image,,,TRUE
wildlife,,,TRUE
demand for beauty,,,TRUE
palestinian state,,,TRUE
small nations,,,TRUE
tibetan governance,,,TRUE
pain,,,TRUE
solutions,,,TRUE
facts,,,TRUE
uninsured,,,TRUE
delays,,,TRUE
decolonization,,,TRUE
us-indian relations,,,TRUE
cap,,,TRUE
energy security,,,TRUE
favor,,,TRUE
jewish interests,,,TRUE
banning categories,,,TRUE
eu,,,TRUE
japanese whaling,,,TRUE
prosecution,,,TRUE
modernity,,,TRUE
genocide,,,TRUE
in society,,,TRUE
sodomy and health,,,TRUE
parenthood,,,TRUE
physical damage,,,TRUE
youth,,,TRUE
capabilities,,,TRUE
past atrocities,,,TRUE
popular legitimacy,,,TRUE
us approved lines,,,TRUE
burma,,,TRUE
fiscal accountability,,,TRUE
diplomatic recognition,,,TRUE
sexuality,,,TRUE
rape,,,TRUE
effect on sexual behavior,,,TRUE
america,,,TRUE
urgency to act,,,TRUE
waste of time,,,TRUE
balance,,,TRUE
nato in kosovo,,,TRUE
mission,,,TRUE
test results/benefits,,,TRUE
community integration,,,TRUE
tourism,,,TRUE
rules,,,TRUE
historical lessons,,,TRUE
un effectiveness,,,TRUE
victims' families,,,TRUE
environment/land-use,,,TRUE
inspiration,,,TRUE
vs. renewables,,,TRUE
faiths,,,TRUE
charging air travelers,,,TRUE
on-the-ground,,,TRUE
strong management,,,TRUE
elephant populations,,,TRUE
artists,,,TRUE
necessity,,,TRUE
popular will,,,TRUE
attention,,,TRUE
qing dynasty (1644-1911),,,TRUE
incumbents,,,TRUE
rebelliousness,,,TRUE
china bloc,,,TRUE
natural gas,,,TRUE
rediscovery,,,TRUE
mongols/yuan dynasty (1271-1368),,,TRUE
commerce clause,,,TRUE
cyprus,,,TRUE
exceptions,,,TRUE
relations/stability,,,TRUE
grand-standing,,,TRUE
locals,,,TRUE
relationships and communication,,,TRUE
competition,,,TRUE
lives lost,,,TRUE
woman vs. black man,,,TRUE
government duty,,,TRUE
logical next step,,,TRUE
harm,,,TRUE
vs other bailouts,,,TRUE
moon-to-mars,,,TRUE
prevention,,,TRUE
life-style,,,TRUE
family friend,,,TRUE
guilt as criteria,,,TRUE
bible,,,TRUE
first cousins,,,TRUE
broader fight,,,TRUE
international community,,,TRUE
the surge,,,TRUE
adultery,,,TRUE
error-rates,,,TRUE
convention,,,TRUE
us-specific,,,TRUE
barbarous procedure,,,TRUE
availability,,,TRUE
warming trend,,,TRUE
targeted assassinations,,,TRUE
accessibility and context,,,TRUE
church,,,TRUE
family violence,,,TRUE
players,,,TRUE
vs. adult stem cells,,,TRUE
bodily strain,,,TRUE
europe,,,TRUE
restructuring,,,TRUE
making us safer?,,,TRUE
justice/desert,,,TRUE
creativity,,,TRUE
safety/meltdown,,,TRUE
skills and knowledge,,,TRUE
iraq war vote,,,TRUE
joining russia,,,TRUE
controversies,,,TRUE
incentives,,,TRUE
local effects,,,TRUE
social contract,,,TRUE
business practices,,,TRUE
argument 3,,,TRUE
intentions of mosque,,,TRUE
dayton accords,,,TRUE
buy american,,,TRUE
aesthetics,,,TRUE
marriage defined,,,TRUE
non-experts,,,TRUE
communication,,,TRUE
upholding christianity,,,TRUE
donations,,,TRUE
simplicity,,,TRUE
other distractions,,,TRUE
fossil fuel dependence,,,TRUE
conviction,Crime and punishment,,FALSE
judgment,Crime and punishment,,FALSE
violence,Crime and punishment,,FALSE
mandatory restorative justice,Crime and punishment,,FALSE
judicial overload,Crime and punishment,,FALSE
vandalism,Crime and punishment,,FALSE
law enforcement,Crime and punishment,"Legality, constitutionality and jurisprudence",FALSE
due punishment,Crime and punishment,,FALSE
international torture,Crime and punishment,,FALSE
penalties,Crime and punishment,,FALSE
waterboarding,Crime and punishment,,FALSE
careless driving laws,Crime and punishment,,FALSE
"if torture... if waterboarding is ""torture"" is it still ok sometimes? see debate",Crime and punishment,,FALSE
god's existence,Cultural identity,Morality,FALSE
friendships,Cultural identity,,FALSE
tourism and recreation,Cultural identity,,FALSE
individual vs. collective,Cultural identity,,FALSE
vacation,Cultural identity,,FALSE
getting to marriage,Cultural identity,,FALSE
modern society,Cultural identity,,FALSE
pakistani people,Cultural identity,,FALSE
language,Cultural identity,,FALSE
guns as sport,Cultural identity,,FALSE
elite culture,Cultural identity,,FALSE
purpose of marriage,Cultural identity,,FALSE
civil society,Cultural identity,Culutural identity,FALSE
religious philosophy,Cultural identity,Morality,FALSE
human sexuality,Cultural identity,,FALSE
marriage benefits,Cultural identity,,FALSE
cultural relativity,Cultural identity,,FALSE
marriage,Cultural identity,,FALSE
sexual culture,Cultural identity,,FALSE
culture,Cultural identity,,FALSE
ethnicity,Cultural identity,Morality,FALSE
investment sources,Economic,Capacity and resources,FALSE
wages,Economic,,FALSE
the european central bank,Economic,,FALSE
seignorage,Economic,,FALSE
global free trade,Economic,External regulation and reputation,FALSE
home economies,Economic,,FALSE
paying for it,Economic,,FALSE
state costs,Economic,,FALSE
poverty,Economic,Quality of life,FALSE
wallstreet,Economic,,FALSE
un budget issues,Economic,,FALSE
taxpayer money,Economic,,FALSE
fiscal-monetary mix,Economic,,FALSE
budgets,Economic,Capacity and resources,FALSE
personal costs,Economic,,FALSE
cost effectiveness,Economic,,FALSE
healthcare costs,Economic,Health and safety,FALSE
checks and balances,Economic,,FALSE
sex rates,Economic,,FALSE
profit-interest,Economic,,FALSE
vs. single payer,Economic,,FALSE
budgetary burdens,Economic,Capacity and resources,FALSE
funding,Economic,Capacity and resources,FALSE
costs,Economic,Capacity and resources,FALSE
cap-and-trade alternative,Economic,,FALSE
cost-cutting,Economic,,FALSE
market value,Economic,,FALSE
shareholders,Economic,,FALSE
investment,Economic,,FALSE
gdp,Economic,,FALSE
spending,Economic,,FALSE
government spending,Economic,Policy prescription and evaluation,FALSE
international viewpoint,External regulation and reputation,,FALSE
other states,External regulation and reputation,,FALSE
eu member states,External regulation and reputation,,FALSE
chinese interests,External regulation and reputation,,FALSE
nato functions,External regulation and reputation,,FALSE
eu responsibility,External regulation and reputation,,FALSE
un efficacy,External regulation and reputation,,FALSE
eu-china partnership,External regulation and reputation,,FALSE
international stability,External regulation and reputation,,FALSE
nato expansion,External regulation and reputation,,FALSE
internal security,External regulation and reputation,Security and defense,FALSE
dominion,External regulation and reputation,,FALSE
peace,External regulation and reputation,,FALSE
iraq war policy,External regulation and reputation,,FALSE
war,External regulation and reputation,Security and defense,FALSE
hostilities,External regulation and reputation,,FALSE
border security,External regulation and reputation,Security and defense,FALSE
international authority,External regulation and reputation,,FALSE
other countries,External regulation and reputation,,FALSE
european union,External regulation and reputation,,FALSE
sovereignty/interests,External regulation and reputation,,FALSE
non-democracies,External regulation and reputation,,FALSE
conflict,External regulation and reputation,,FALSE
arms race,External regulation and reputation,Security and defense,FALSE
foreign control,External regulation and reputation,,FALSE
nato,External regulation and reputation,,FALSE
human rights,Fairness and equality,"Legality, constitunionality and jurisprudence",FALSE
abortion,Fairness and equality,Health and safety,FALSE
international law and realities,Fairness and equality,External regulation and reputation,FALSE
rights,Fairness and equality,"Legality, constitutionality and jurisprudence",FALSE
female preferences,Fairness and equality,,FALSE
intellectual property,Fairness and equality,,FALSE
redistribution,Fairness and equality,,FALSE
homosexuals,Fairness and equality,,FALSE
woman's rights,Fairness and equality,,FALSE
race/gender analogies,Fairness and equality,,FALSE
homosexuality analogy,Fairness and equality,,FALSE
gay sex,Fairness and equality,,FALSE
cultures/sexism,Fairness and equality,Cultural identity,FALSE
copy-right,Fairness and equality,"Legality, constitutionality and jurisprudence",FALSE
social issues,Fairness and equality,Quality of life,FALSE
individualism,Fairness and equality,,FALSE
education levels and quality,Fairness and equality,Quality of life,FALSE
poor,Fairness and equality,,FALSE
sexual discrimination,Fairness and equality,,FALSE
race analogy,Fairness and equality,,FALSE
gender issues,Fairness and equality,,FALSE
race,Fairness and equality,,FALSE
exclusion,Fairness and equality,,FALSE
religious discrimination,Fairness and equality,Morality,FALSE
integration or discrimination,Fairness and equality,Quality of life,FALSE
racial profiling,Fairness and equality,,FALSE
age discrimination,Fairness and equality,,FALSE
anti-gay violence,Fairness and equality,,FALSE
minority rights,Fairness and equality,"Legality, constitutionality and jurisprudence",FALSE
sexism,Fairness and equality,,FALSE
homophobia,Fairness and equality,,FALSE
racism,Fairness and equality,,FALSE
xenophobia,Fairness and equality,,FALSE
feminists,Fairness and equality,,FALSE
copyright law,Fairness and equality,,FALSE
ethnic division,Fairness and equality,Morality,FALSE
tobacco anti-adverts,Health and safety,,FALSE
adult jurisdiction for juveniles,Health and safety,Policy prescription and evaluation,FALSE
potency,Health and safety,,FALSE
