(webis) Frame,most Fitting media frame
habitat,
american public,Cultural identity
unhealthy,Health and safety
non-corn ethanol,
palestinians,
religion,Morality
instant-replay ump,
companies,
exposure,
vs. scripted shows,
standards,
disadvantaged,
law,"Legality, constitutionality and jurisprudence"
activist organizations,
eugenics,
pakistani people,
health/disease,Health and safety
chinese governance,
performance,
gay sex,
tibet,
political rights,Fairness and equality
empowering women,
growing government,
child's quality of life,Quality of life
pakistan,
us commitment,
double standard,
war crimes,Crime and punishment
ambiguity,
trade agreements,Economic
"embryos as ""life""",
pregnancy,
sex education issues,
police work,Crime and punishment
vs. public insurance,
intelligence,
foreign governments,External regulation and reputation
language,
government legitimacy,"Legality, constitutionality and jurisprudence"
vs capitalism (see also debate,
efficiency,
interests of living victims,
united states law,"Legality, constitutionality and jurisprudence"
kosovo,
merit,
socializing,
infrastructure,
carrying papers,
effect of a ban,
children,
interference,
emissions,
fairness to consumers,Fairness and equality
vandalism,
law enforcement,"Legality, constitutionality and jurisprudence"
social justice,Fairness and equality
incumbency,
corporations,
public service,
iran,
assisting quiting,
legality,"Legality, constitutionality and jurisprudence"
arbitration,
governance,"Legality, constitutionality and jurisprudence"
aumf?,
due punishment,
tang dynasty (618-907),
taxpayer money,
size,
georgia,
anonymity,Quality of life
obligatory,
state interests,
small states,
geography,
commitment,
innovation,
mexican economy,Economic
consumption/taste,
incumbent,
tyranny of majority,Quality of life
maintenance,
cultures/sexism,Cultural identity
individual effects,
in us history,
air-quality,
economic growth,Economic
family size,
pragmatism,
eu responsibility,
un efficacy,
urinary infections,
chinese response,
footprint,
citizenship,
independence vs. union,
space exploration,
public anxiety,
activism,
expanded membership,
interest groups,
eu opinion,
cosmetics,
university administrators,
affecting protection choices,
silent mode,
economics,Economic
campaigns,
fiscal-monetary mix,
human survival,Security and defense
powers,
religious institutions,Morality
protecting non-smokers,Health and safety
species extinction,Security and defense
products,
american identity,Cultural identity
prospective politicians,Politics
republican support,Politics
humanitarian rights,"Legality, constitutionality and jurisprudence"
international security,Security and defense
starting point,
last resort,
free speech,"Legality, constitutionality and jurisprudence"
claims,
deficit reduction,Economic
budgets,Capacity and resources
traditional methods,Cultural identity
information,
strategic value,
advertisements,
poor system,
original vote,
civil liberties,"Legality, constitutionality and jurisprudence"
mars,
viewer esteem,
depression,
personal costs,
images in islam,
virginity pledges,
bad apples,
discipline,
creationism as science,
exceptionality,
copy-right,"Legality, constitutionality and jurisprudence"
future efforts,
implementation,
needy,
redistribution of income,Economic
public safety,Health and safety
importance,
democratic principles,
traffic,
cost effectiveness,
us economy,Economic
eu-china partnership,
ceasefire,
urgency,
price,Economic
gay influence,
foreign relations,External regulation and reputation
judicial discretion,"Legality, constitutionality and jurisprudence"
culture preservation,Cultural identity
israel,
home-heating,
free trade,Economic
affirmative action,
state consistency,
croatia,
healthcare costs,Health and safety
checks and balances,
engine compatibility,
economics to democracy,Economic
politicians/others,Politician
entertainment,
guns as sport,
child development,
private investments,
graduated response,
sunnis,
smoking quantities,
social issues,Quality of life
government programs,Policy prescription and evaluation
politicization,politics
postal rates,
the consumer,
china/india,
consumption,
individualism,
russia,
mixed private-public,
dependency,
pro-life,
libel/misinformation,
hitler,
terrorist threat,Security and defense
aig recovery,
serious problem,
enforcement,Crime and punishment
child protections,
aggression,
vietnam comparison,
road safety,Health and safety
future impact,
popular support,
temporary,
milk diet,
parental authority,
compromise,
fetus rights,
constitutionality,"Legality, constitutionality and jurisprudence"
crime effects,Crime and punishment
science,
universal jurisdiction,"Legality, constitutionality and jurisprudence"
commercial use of info,Economic
encouraging rape,
elite culture,
public health,Health and safety
demographics,Public opinion
demonstration,
risks,
purpose of marriage,
historic opinion,
voluntary action,
palliative care,Quality of life
poverty/inequality,Fairness and equality
environment/batteries,
relevant symbol,
processes,
present,
moral standards,Morality
ethics,Morality
socialism,Economic
stabilizer?,
humanity,
nuclear weapons,Security and defense
problem,
foreign dependence,External regulation and reputation
military recruiting,Security and defense
vs rep government,
state sovereignty,
male interests,
fresh faces vs. amateurs,
economic stability,Economic
us military,Security and defense
the children,
turnaround,
administrative costs,
killing calves,
legal issues,"Legality, constitutionality and jurisprudence"
safety,Health and safety
changing menus,
servicemen,
self-regulations,
tobacco ads,
post-cold war,
quality,
during recession,
image/relations,
government role,"Legality, constitutionality and jurisprudence"
special case,
vs. alcohol etc,
consequences,
aid agencies,
practicality,
message,
water supply,
administration,
spirit,
usage,
detainee treatment,Policy prescription and evaluation
consumer safety,Health and safety
democratic process,
captivity,
sex rates,
us contributions,
worker safety,Health and safety
cellulosic,
differentiated responsibilities,
young women,
opinion,
viability,
vs. britannica,
education levels and quality,Quality of life
police resources,Capacity and resources
care,Health and safety
free choice,
unwanted/adoption,
ming dynasty (1368-1644),
energy independence,
sex,
industry,
vs treatment,
fisheries,
significance,
party system,
means to protest,Quality of life
protecting players,
muslim relations,
medicaid/medicare,Health and safety
in world,
hunting,
professional networking,
political education,Political
nuclear capability,
poor,
self-defense,Crime and punishment
arrested,Crime and punishment
crisis,Economic
general history,
vetting climate solutions,
past aid,
agriculture,
international torture,
retention,
training,
the flag was waving and rippling,
support,
independence vs. autonomy,
religious doctrine,Morality
ukraine,
international stability,
rarity,
general access,
presidential nominees,
soldiers,Security and defense
drug-use,Health and safety
broad strategy,
intervention,
non-participation,
sexual morality,Morality
civil society,Culutural identity
reasonable suspicion,
to preserve or save artifacts,
religious philosophy,Morality
partying,
general,
patriotism,
quality and value,
small government,"Legality, constitutionality and jurisprudence"
new orleans,
contract,
way #1: value way,
individual responsibility,
crop-eradication,
supply the poor,
decency,
romany schools,
red tides,
position,
donor countries,
history,
quality of marriage,
by-catch,
vs. solar,
iraqi constitution,
blockade,
democratic agenda,
producer states,
immediacy,
public vs. private,
sex tourism,
child-hazards,
dignity of life,Quality of life
school choice,Quality of life
democratic values,
profit-interest,
vs. mandates,
juvenile jurisdiction,
physician judgement,Health and safety
equality,Fairness and equality
pre-existing conditions,
disarmament,
constitution,"Legality, constitutionality and jurisprudence"
public,
voter choice,Public opinion
mixed approach,
other evidence,
discovery,
secret prisons,
drug use,Health and safety
islamic faith,
students,
natural,
consensus,
marriage institution,
addictiveness,Health and safety
natural expansion,
female interests,
urban development,
sovereignty,
medicinal drugs,Health and safety
intimidation,
and death penalty,Crime and punishment
effect on wild fish,
parent choice,
recreation,
foreign policy,External regulation and reputation
relations,
sexualization,
turbines,
general election,
fighting hiv/aids,Health and safety
emergencies,
sexual discrimination,
czech republic,
peer review,
pesticides,
case studies,
oil replacement,
status,
mineral exploitation,
surveillance,
fair to wealthy?,Fairness and equality
way #2,
dc non-state,
parental exploitation,
pro/con industries,
legal acadamia,
statehood,
more pay,Economic
hands-free phones,
smaller states,
symbol,
iceland,
pay,Economic
general humaneness,
abuse,
ecosystems,
influence,
us role,External regulation and reputation
imprisonment,Crime and punishment
human sexuality,
co-opting bowls,
universal laws,Crime and punishment
moral obligation,Morality
the pro and con arguments,
penalties,
vs. single payer,
individuals,
emperor,
anti-dumping measures,
marriage benefits,
individual liberty,Quality of life
environment/general,
in cities,
other,
vs private sector,
united kingdom,
clone safety,Health and safety
moral,Morality
getting reform,
scientific community,
public-private partnership,
animals as commodities,
improving justice,"Legality, constitutionality and jurisprudence"
waterboarding,
kurds,
proliferation/npt,
problem-solving,
momentum,
popularity,
love,
mothers' health,Health and safety
geoengineering ethics,Morality
social fairness,Fairness and equality
historically,
value of debate,
sustainability,
ocean ecosystems,
islamic democracy,
employment,Economic
chechen sovereignty,
race analogy,
victims,
affordability,
international cooperation vs interdependence,
gender issues,
irrational actor,
race,
nato expansion,
colonial legacy,
social benefits,Cultural identity
exclusion,
individual rights,"Legality, constitutionality and jurisprudence"
disarming vs. enforcement,
cultural relativity,
protecting smokers,Health and safety
kosovo precedent,
food shortages,Health and safety
budgetary burdens,Capacity and resources
strategy,
marriage stability,
harm and risks,
scalability,
marriage,
rogue regimes,
infant health,Health and safety
funding,Capacity and resources
nationalization,
legal,"Legality, constitutionality and jurisprudence"
internal security,Security and defense
vs. air travel,
regional stability,
middle east,
costs,Capacity and resources
pristine environment?,
dominion,
precautionary principle,
japan's case,
war on christmas,
oil,
office effectiveness,
clean coal,
religious discrimination,Morality
sweden,
decision-making,
pro/con organizations,
international diversity,Cultural identity
consultation,
npr/pbs,
consensus model,
counter-terrorism,Security and defense
without public option,Public opinion
responsibility,
atmospheric c02,
charging,
learning english,
massachussetts,
employers,
social security precedent,Quality of life
permanent president of the european council,
false choice,
vs. rockets,
academics,
equal opportunity,Fairness and equality
vs tobacco/alcohol,
lying,
confidence,
guest workers,
socially,
marine ecosystems,
change,
decentralization,Policy prescription and evaluation
priorities,
voluntary,
work environment,
frozen embryos,
smegma,
"armenian ""genocide""",
mccain's age,
free markets,Economic
careless driving laws,
privatization,
parental responsibility,
screening,
government stimulus,"Legality, constitutionality and jurisprudence"
consumer pressure,
collateral damage,
international law,"Legality, constitutionality and jurisprudence"
immediate stimulus,
power,
immigration,
inclusiveness,
teacher rights,
teacher authority,
free-riders,
georgian governance,"Legality, constitutionality and jurisprudence"
business,
electric grid,
impact on violence,
unions,
psychological disorders,Health and safety
distinct identity,Cultural identity
dependence culture,Cultural identity
defining negativity,
government loan,Economic
taxes,Economic
verification,
winning,
vs. electric vehicles,
mandates,
israeli security,
blissful ignorance,
auto comparison,
climate change,
palestinian life,
broken treaties,External regulation and reputation
responsible marketplace,
national cohesion,Cultural identity
state authority,
researching it,
environment,
peace,
state rights,"Legality, constitutionality and jurisprudence"
western imperialism,
side-effects,
vs. electric,
completeness,
free association,
hand-gun ban: should hand guns be banned? (see also: debate,"Legality, constitutionality and jurisprudence"
clone,
spending vs. tax cuts,Economic
euro,
vs. hydrogen cars,
moderation,
music as art,
recovery,Health and safety
medicine and science,Health and safety
broken cameras,
cap-and-trade alternative,
gateway drug,Health and safety
associations,
church and state,Morality
historical figures,
power abuse,
two-party moderation,
democratizing,
vs. automatic enrollment,
for baseball,
surfers,
survival,Health and safety
economic factors,Economic
theology,Morality
identity,Cultural identity
integration or discrimination,Quality of life
iraq war policy,
cultural freedom,Cultural identity
reality,
socio-economics,Economic
war,Security and defense
parents,
social gain,
reform,
direct democracy,
crowding,
averting crises,
experience,
effectiveness,
safety and health,Health and safety
punishment,Crime and punishment
the rule of law,"Legality, constitutionality and jurisprudence"
teen pregnancy,
debaters' attitude towards life,
voter participation,Public opinion
brazil,
in korea,
symbolism,
party power,
playing god/nature,
babies' health,Health and safety
other options,
consumers,
leadership,
practice,
institution of marriage,
join operations,
doctor/parent role,
vs. restriction,
party interest,
sectoral standards,
public discourse,Public opinion
without saddam,
polls,Public opinion
hostilities,
demographic shifts,
the individual,
research,
integrity,Morality
property,
border security,Security and defense
broader philosophies,
need,
war on terror,Security and defense
speeding cameras,
public support,Public opinion
judgement,
child abuse,
international authority,
athletes,
innocents,
vs. tribunals,"Legality, constitutionality and jurisprudence"
personal use,
needing the money,
algae biofuels,
surrender,
famine,Quality of life
manipulation,
laws,"Legality, constitutionality and jurisprudence"
good/bad stimulus,
donor impact,
lftr reactors,
settlements,
voter opinion,Public opinion
pretext for war,
image,
irony,
state powers,
family integrity,
centralization/sovereignty,
corruption,
"economic argument: in the long run, governments benefit more from reducing vat on contraceptives",Economic
patriot act?,
human factor,
corporate lobbying,Policy prescription and evaluation
diplomatic feel,
luck,
flexibility,
from developed nations,
access,
career politicians,political
meritocracy,
racial profiling,
rights vs. security,"Legality, constitutionality and jurisprudence"
bad zookeepers,
developing countries,
modern media,
us courts,"Legality, constitutionality and jurisprudence"
backlash,
cooperatives,
compassion,
ceo pay,
lng,
freedom of speech,"Legality, constitutionality and jurisprudence"
principles,
social effects,
level playing field,
sexual culture,
media,
student measurement,
tolerance,"Legality, constitutionality and jurisprudence"
crime fighting,Crime and punishment
destination economies,Economic
fans,
tortured detainees,Crime and punishment
unions/advocacy,
scholars,
grain diets,
authority,
global warming crisis,
environmental justice,
car insurance analogy,
individual representation,
coordination,
accountability,
afghan security forces,Security and defense
states,
fundamentalism,Morality
weather resistance,
coca products,
justification,
pakistan government,"Legality, constitutionality and jurisprudence"
general consequences,Public opinion
dynasty,
corporate responsibility,
theory,
respecting victims,
national security,Security and defense
beauty,
bill clinton,
military value,Security and defense
social aspects,
birth control,
local use,
oil exploration,
marine wildlife,
judicial process,"Legality, constitutionality and jurisprudence"
disease,Health and safety
influence of ads,
job migration,Economic
party strength,Political
other countries,
wind energy,
default,
health care,Health and safety
state budgets,
european union,
tie-breaking,
safeguards,
military opinion,Public opinion
obesity crisis,Health and safety
founding fathers,
sources,
human rights and moral authority,"Legality, constitutionality and jurisprudence"
reliability,
recount concerns,
consistency,
balloon effect,
military threat,
reducing sectarian violence,Crime and punishment
smoked marijuana,
establishment clause,
education/intelligence,Quality of life
installation,
teaching the controversy,
efficiency and productivity,
chinese users,
politicizing olympics,Political
animal rights,
framers,
economy,Economic
enforceability,
jobs,Economic
vs upgrading,
blame for conflict,
sovereignty/interests,
evolution,
non-democracies,
bi-partisanship,
businesses,Economic
the route,
developing growth,
clearing mines,
abortions and abandonment,
exemptions,
secret deal,
"vs. ""clean coal""",
civil unions,
historical roots,
future prospects,
humaneness,
quality of life,Quality of life
cost-cutting,
consumer choice,Public opinion
serbian opinion,Public opinion
treating the terminally ill,Health and safety
palestinian territory,
employer mandate,
fair trials?,
drunk driving,Crime and punishment
translocation,
examples,
at risk,
school,
weapons,Crime and punishment
harming to others,Crime and punishment
splitting delegates,
consumption levels,
"if torture... if waterboarding is ""torture"" is it still ok sometimes? see debate",
aid misuse and corruption vs trade drawbacks,Policy prescription and evaluation
market value,
checks,
unique harms,
threat,Security and defense
masturbation,
appearances,
worker's rights,
wwii dues paid?,
blame,
in schools,
iraqi will,
social/democratic,
activists' intentions,
defense,Security and defense
shareholders,
charity,
coalition will,
future,
choice,
bih democracy,
editor-experience,
net energy,
hacking,Crime and punishment
hiv,Health and safety
judicial system,
sexual role,
lives,
reanalyzing evidence,
covenant vs no-fault,
shiites,
age discrimination,
npov,
troop morale,
right of return,
ideological distinctions,
culture,
abroad,
utility,
deterrence,
economic viability,Economic
missile defenses,Security and defense
independence from nato,External regulation and reputation
exploration,
storage,
deep water oxygen depletion,
replacements,
acting on speech,
bison migrations,
conflict,
legality and rights,"Legality, constitutionality and jurisprudence"
youtube videos pro and con,
demolishing dams,
military presence,Security and defense
vs other sports,
assessing benefits/costs,Economic
voters,Public opinion
noise,
military targets,Security and defense
special-ed,Quality of life
frame,
iran problem,
consequences of a ban,Policy prescription and evaluation
eezs,
sterilization,
passion,
government involvement,"Legality, constitutionality and jurisprudence"
educational achievement,Quality of life
teacher cheating,Quality of life
war on drugs,Health and safety
differences,
character,
global warming,
anti-gay violence,
vs. other biofuels,
food/prices,
govt vs. markets,Economic
characteristics,
effects,
renewable,
scholars and journalist stances,
cheating,
civilians,
restriction,
privileged partnership,
promises,
vs. surgical castration,
public interest,Public opinion
other symbols,
sense of safety,Health and safety
dmv employees,
internationally,
third parties,
social attitudes,Public opinion
negatives of sanctions,Policy prescription and evaluation
bad assets,
curfews,
suspense,
national symbol,
radiation,
taiwanese politics,Political
military readiness,Security and defense
argument 1,
natural gas vehicles,
petition,
saving offenders,Crime and punishment
past deportations,
jewish state,
israel's image,
wildlife,
demand for beauty,
palestinian state,
strategic ban,Policy prescription and evaluation
public trust,Public opinion
minority rights,"Legality, constitutionality and jurisprudence"
voter liberties,"Legality, constitutionality and jurisprudence"
economic strength,Economic
food stamps,Health and safety
united nations security council,Security and defense
small nations,
tibetan governance,
national defense,Security and defense
pain,
nuclear threat,Security and defense
solutions,
sexism,
military strength,Security and defense
nuclear energy,
facts,
uninsured,
delays,
decolonization,
us-indian relations,
cap,
social function,
energy security,
favor,
jewish interests,
banning categories,
military,
ethnicity,Morality
eu,
japanese whaling,
health concerns,Health and safety
privacy,
prosecution,
alcohol,Health and safety
health,
modernity,
public debate,Public opinion
homophobia,
genocide,
popular opinion,Public opinion
in society,
sodomy and health,
parenthood,
consent,
legal avenues,
path to citizenship,
investment,
world vs. us,External regulation and reputation
freedom,"Legality, constitutionality and jurisprudence"
physical damage,
bioterrorism,Security and defense
regional security,
religious arguments,Morality
ethics vs. business,Morality
internationalized,
youth,
capabilities,
past atrocities,
turkish opinion,Public opinion
propaganda,
economic progress,Economic
popular legitimacy,
us approved lines,
doctors,Health and safety
burma,
child disability,
fiscal accountability,
moral justice,Morality
diplomatic recognition,
military feasibility,Capacity and resources
sexuality,
security benefits,Security and defense
rape,
effect on sexual behavior,
america,
urgency to act,
waste of time,
vs. gas tax,Economic
balance,
inequality,Fairness and equality
nato in kosovo,
mission,
test results/benefits,
community integration,
voter interests,Public opinion
tourism,
military action,Security and defense
rules,
concealed-carry,
public opinion,Public opinion
historical lessons,
un effectiveness,
tax-revenue,Economic
victims' families,
racism,
environment/land-use,
debt,Economic
politics,Political
inspiration,
vs. renewables,
faiths,
charging air travelers,
on-the-ground,
strong management,
elephant populations,
artists,
necessity,
popular will,
tax rebate,Economic
attention,
health promise,Health and safety
qing dynasty (1644-1911),
incumbents,
rebelliousness,
china bloc,
natural gas,
rediscovery,
vs. harm reduction,Quality of life
mongols/yuan dynasty (1271-1368),
healthy foods,Health and safety
commerce clause,
cyprus,
social welfare effects,Quality of life
exceptions,
relations/stability,
public credibility,Public opinion
gdp,
political progress,Political
portrayal of women,Fairness and equality
spending,
racial equality,Fairness and equality
sentencing and rehabilitation,
grand-standing,
locals,
us resources/priorities,Capacity and resources
bad schools,Quality of life
culture and society,Cultural identity
relationships and communication,
competition,
xenophobia,
lives lost,
woman vs. black man,
election cost,Economic
arms race,Security and defense
government duty,
feminists,
logical next step,
harm,
vs other bailouts,
moon-to-mars,
prevention,
life-style,
cultural standards,Cultural identity
family friend,
guilt as criteria,
bible,
diplomacy,External regulation and reputation
the rise of cybercrime,Crime and punishment
first cousins,
broader fight,
international community,
the surge,
adultery,
error-rates,
for-profit,Economic
convention,
us-specific,
barbarous procedure,
military humanism,
copyright law,
availability,
warming trend,
individual freedoms,
feasibility,Capacity and resources
targeted assassinations,
accessibility and context,
church,
sexual abuse,Crime and punishment
family violence,
players,
micro credit,
sex-specific diseases,
foreign control,
vs. adult stem cells,
bodily strain,
universal care,Health and safety
emergency,
subsidizing viewers/readers,Economic
impact on the market,Economic
europe,
restructuring,
making us safer?,
justice/desert,
creativity,
bankruptcy,Economic
safety/meltdown,
skills and knowledge,
iraq war vote,
joining russia,
government action,Policy prescription and evaluation
controversies,
incentives,
un/international law,"Legality, constitutionality and jurisprudence"
wealthy,
government spending,Policy prescription and evaluation
local effects,
"term ""war""",
social contract,
business practices,
argument 3,
intentions of mosque,
dayton accords,
legislative production,
buy american,
public will,Public opinion
ethnic division,Morality
persecution as justification,"Legality, constitutionality and jurisprudence"
nato,
militia,Security and defense
aesthetics,
marriage defined,
financial bailout,Economic
costs and economics,Economic
non-experts,
communication,
upholding christianity,
extended unemployment benefits,Quality of life
morality,Morality
regulation,
donations,
non-profit,Economic
simplicity,
courts,"Legality, constitutionality and jurisprudence"
other distractions,
fossil fuel dependence,
quality teachers,Quality of life
civil rights,"Legality, constitutionality and jurisprudence"
